Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
AFJK,"Aimei Health Technology Co., Ltd",10.9595,USD,0.00091246,520,0.02783487,98920500,USD,43.3353104,0.2529,USD,,0,Finance,
AGAE,Allied Gaming & Entertainment Inc.,1.0409,USD,-0.00960615,3891,0.1820632,45909950.39855908,USD,,-0.2691,USD,-144.63636364,0,Consumer services,
AGEN,Agenus Inc.,2.46,USD,-4.65116279,115978,0.32736152,57708963.60465116,USD,,-10.9971,USD,32.66614418,0,Health technology,Neutral
AGFY,Agrify Corporation,17.448,USD,3.85714286,10511,0.63700328,26691022.95571429,USD,,-10.8125,USD,98.65140475,0,Producer manufacturing,
AGRI,AgriFORCE Growing Systems Ltd.,1.8701,USD,17.6163522,314528,1.44027314,3199868.12566038,USD,,-1.1025,USD,-157.29288215,0,Commercial services,
AHT,Ashford Hospitality Trust Inc,7.625,USD,-0.71614583,1209,0.04718104,43289051,USD,,-6.6573,USD,88.14707857,0,Finance,Neutral
AIFF,"Firefly Neuroscience, Inc.",4.01,USD,-2.66990291,117549,0.05374106,32366793.83737863,USD,,,,,0,Health technology,
AIRE,reAlpha Tech Corp.,1.34,USD,2.29007634,26556,0.09771534,61712603.45038167,USD,,,,,0,Technology services,Strong buy
AIRG,"Airgain, Inc.",5.4601,USD,-1.61981982,3798,0.1545297,63112761.69562161,USD,,-0.7916,USD,33.75732218,0,Electronic technology,Strong buy
AIRI,Air Industries Group,3.8999,USD,6.84657534,19348,0.40965141,13096328.98260274,USD,,-0.1894,USD,80.72460818,0,Electronic technology,Strong buy
AIRT,"Air T, Inc.",17.65,USD,1.72910663,1936,0.28465565,48112416.78962536,USD,,-0.2852,USD,94.32121381,0,Transportation,
AIRTP,"Air T, Inc. - Trust Preferred Securities",17.263,USD,-0.21387283,206,0.10338252,47294642,USD,,,,,,Transportation,
AITR,AI TRANSPORTATION ACQUISITION CORP,10.94,USD,-0.0913242,421,0.07193999,85744945.0729927,USD,50.90739879,0.2149,USD,,0,Finance,
AIXI,XIAO-I Corporation,4.4441,USD,-0.13258427,10779,0.14061632,36755405,USD,,-2.917,USD,6.38639281,0,Technology services,
AKAN,Akanda Corp.,1.59,USD,1.27388535,6140,0.20568067,2268632.25477707,USD,,-462.0887,USD,-41.72448038,0,Process industries,
AKYA,"Akoya BioSciences, Inc.",1.68,USD,3.7037037,34000,0.08465309,83282213.77777776,USD,,-1.1763,USD,33.27471779,0,Health technology,Neutral
ALBT,Avalon GloboCare Corp.,10.0516,USD,-5.97193639,51381,0.27589825,10998671.34286249,USD,,-3.0278,USD,-234.04677846,0,Health technology,
ALCY,Alchemy Investments Acquisition Corp 1,11.21,USD,0.08928571,1100,0.12793673,50808910.63035715,USD,30.25641026,0.3705,USD,186.98683191,0,Finance,
ALGS,"Aligos Therapeutics, Inc.",14.185,USD,-1.08089261,27538,0.12457922,50894249.72140865,USD,,-13.3467,USD,,0,Health technology,Strong buy
ALMU,"Aeluma, Inc.",6.3,USD,-2.17391304,2076,0.06589368,77204445.6521739,USD,,-0.4572,USD,,0,Commercial services,
ALOT,"AstroNova, Inc.",10.26,USD,0,3097,0.32239595,77245876,USD,20.34906783,0.5042,USD,12.64521895,0,Electronic technology,
ALSAF,Alpha Star Acquisition Corporation,20,USD,61.81229773,101,0.03799992,64553278.31715211,USD,145.13788099,0.1378,USD,-62.10121012,0,Finance,
ALTS,ALT5 Sigma Corporation,5.31,USD,-0.18796992,26378,0.13271556,74708880.31015037,USD,,-3.2041,USD,27.60568472,0,Industrial services,
ALUR,"Allurion Technologies, Inc.",2.585,USD,-0.57692308,36747,0.09281824,15411029.29807692,USD,,-11.8913,USD,87.86754316,0,Health technology,Buy
ALVR,"AlloVir, Inc.",10,USD,2.14504597,1059,0.12178153,30771808.98876405,USD,,-20.1597,USD,48.98474074,0,Health technology,
ALXO,ALX Oncology Holdings Inc.,1.0099,USD,0.99,192176,0.44493322,53265263.7593,USD,,-2.9809,USD,16.43117466,0,Health technology,Buy
AMBK,"American Bank, Inc.",14.95,USD,0,600,1.20506126,83497860,USD,12.34414995,1.2111,USD,-22.36538462,3.74582,Finance,
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20),2.225,USD,6.45933014,1318,0.0209757,5969826,USD,,,,,0,Consumer services,
AMIX,"Autonomix Medical, Inc.",2.4274,USD,-1.72469636,10994,0.33938488,5978644.92437247,USD,,-12.5272,USD,,0,Health technology,Strong buy
AMOD,"Alpha Modus Holdings, Inc.",1.79,USD,1.1299435,29031,0.11121514,23944435.59322034,USD,,-0.5207,USD,-776.23376623,0,Technology services,
AMPG,"Amplitech Group, Inc.",1.6094,USD,-0.03726708,26186,0.06926362,31635110.12273292,USD,,-0.8141,USD,-177.37649063,0,Electronic technology,Strong buy
AMS,American Shared Hospital Services,2.79,USD,0,6119,0.64271834,17911800,USD,4.67571644,0.5967,USD,764.7826087,0,Finance,
AMST,Amesite Inc.,2.34,USD,3.08370044,19988,0.00442108,9346210.49339207,USD,,-1.7624,USD,-21.8304991,0,Technology services,
AMTX,"Aemetis, Inc",1.66,USD,-0.5988024,168915,0.19845638,84913318.98203593,USD,,-2.2564,USD,-80.52644212,0,Process industries,Buy
ANEB,"Anebulo Pharmaceuticals, Inc.",1.0485,USD,-0.14285714,2522,0.24293448,43077339.90428571,USD,,-0.2905,USD,28.92096893,0,Health technology,Strong buy
ANIX,"Anixa Biosciences, Inc.",2.965,USD,2.59515571,11521,0.08434991,95463696.67128024,USD,,-0.3936,USD,-24.28165456,0,Health technology,Strong buy
ANL,Adlai Nortye Ltd.,2.4,USD,9.09090909,10235,1.4008075,81180592,USD,,,,,0,Commercial services,
ANRO,"Alto Neuroscience, Inc.",3.51,USD,12.86173633,345590,0.7372961,94665283.49517684,USD,,-2.1334,USD,,0,Health technology,Buy
ANTX,"AN2 Therapeutics, Inc.",1.21,USD,5.2173913,61543,0.33612018,36153457.42608696,USD,,-2.0377,USD,28.82143356,0,Health technology,Neutral
ANVS,"Annovis Bio, Inc.",1.699,USD,2.34939759,59771,0.10097346,33107105.99819278,USD,,-3.8504,USD,9.73579952,0,Health technology,Strong buy
AOGO,Arogo Capital Acquisition Corp.,12.62,USD,-25.76470588,432,0.20290263,55193532.47860769,USD,,-0.205,USD,-135.59645772,0,Finance,
AP,Ampco-Pittsburgh Corporation,1.94,USD,-2.02020202,10941,0.42559895,38982922.40404041,USD,,-2.2551,USD,-3163.99456522,0,Non-energy minerals,
APLM,Apollomics Inc.,6.5,USD,-0.5462307,572,0.1376986,7167322.8575363,USD,,-0.6203,USD,-911.908646,0,Finance,
APRE,"Aprea Therapeutics, Inc.",2.6,USD,1.96078431,4617,0.13533279,14130747.1372549,USD,,-2.8123,USD,86.90076947,0,Health technology,Strong buy
APT,"Alpha Pro Tech, Ltd.",5.27,USD,1.73745174,3304,0.06519196,57963147.98262548,USD,14.39104315,0.3662,USD,19.08943089,0,Process industries,
APTO,"Aptose Biosciences, Inc.",2.63,USD,1.54440154,14516,0.02025495,5637068.13910761,USD,,-91.86177176,USD,60.79338803,0,Health technology,Strong buy
APVO,Aptevo Therapeutics Inc.,2.95,USD,0,3219,0.05743507,4302413,USD,,-452.2643,USD,83.03996812,0,Health technology,Strong buy
APWC,Asia Pacific Wire & Cable Corporation Limited,1.49,USD,0.67567568,1408,0.27274136,30718177.26351352,USD,,,,,0,Electronic technology,
APYX,Apyx Medical Corporation,1.24,USD,4.20168067,15936,0.53969297,46678421.4117647,USD,,-0.821,USD,-87.48572734,0,Health technology,Neutral
AQMS,"Aqua Metals, Inc.",1.91,USD,7.90960452,84032,0.98386375,13621712.10169491,USD,,-4.662,USD,-11.84684036,0,Non-energy minerals,
AQU,Aquaron Acquisition Corp.,11.66,USD,0.08583691,159,0.03753984,28315285.97409326,USD,,-0.0065,USD,-104.45816187,0,Finance,
AREN,"The Arena Group Holdings, Inc.",1.54,USD,0.65359477,12482,0.23058365,73097256.50980392,USD,,-4.3149,USD,-37.58370002,0,Technology services,
ARHN,ARCHON CORP,14,USD,-5.08474576,300,0.64921013,81102000,USD,,,,,0,Consumer services,
ARKR,Ark Restaurants Corp.,10.27,USD,-5.0831793,2370,1.41239571,37014694,USD,,-0.5861,USD,66.64010473,7.30282,Consumer services,
ARMP,"Armata Pharmaceuticals, Inc.",2.0809,USD,1.01456311,2179,0.19256602,75293343.08995146,USD,,-1.6413,USD,0.52727273,0,Health technology,Strong buy
ARTL,"Artelo Biosciences, Inc.",1.0797,USD,4.31884058,7382,0.31297432,3542530.12521739,USD,,-3.0474,USD,2.11043654,0,Health technology,Strong buy
ARTW,"Art's-Way Manufacturing Co., Inc.",1.58,USD,-0.62893082,14267,0.45470771,8030285,USD,,-0.075,USD,-239.66480447,0,Producer manufacturing,
ASCBF,A SPAC II Acquisition Corp.,11.32,USD,0,836,0.2694688,64387909.45066667,USD,274.09200969,0.0413,USD,-86.46345461,0,Finance,
ASMB,"Assembly Biosciences, Inc.",11.96,USD,0.08368201,3062,0.10399826,76021179.85941423,USD,,-7.1446,USD,58.30989532,0,Health technology,Buy
ASPC,A SPAC III Acquisition Corp.,10.03,USD,-0.09960159,55995,0.8013653,81606600.00000001,USD,,,,,0,Finance,
ASPD,ASPEN DIGITAL INC,3.2,USD,0,400,0.27973984,5360000,USD,,,,,0,Finance,
ASRV,AmeriServ Financial Inc.,2.44,USD,-3.17460317,9894,0.5932366,40307015,USD,11.58594492,0.2106,USD,,4.91803,Finance,
ASTC,Astrotech Corporation,6.54,USD,0,1454,0.55832885,11129308,USD,,-8.1275,USD,-29.95890564,0,Electronic technology,
ASTI,"Ascent Solar Technologies, Inc",1.631,USD,-2.91666667,3936,0.22138353,2160755.59583333,USD,,-322.5921,USD,89.70581459,0,Electronic technology,
ASYS,"Amtech Systems, Inc.",4.9602,USD,1.22857143,2894,0.04181175,70876627.80514285,USD,59.61778846,0.0832,USD,,0,Producer manufacturing,Buy
ATCH,"AtlasClear Holdings, Inc.",1.795,USD,-7.4742268,193808,0.01061798,2155275.93041237,USD,,-625.5036,USD,-81471.61441395,0,Technology services,
ATEK,Athena Technology Acquisition Corp. II,6,USD,20,644,0.83236397,60870935,USD,,-0.0935,USD,-326.94174757,0,Finance,
ATER,"Aterian, Inc.",2.08,USD,0,11188,0.27115456,18210786,USD,,-2.6945,USD,80.15525228,0,Retail trade,Buy
ATIP,"ATI Physical Therapy, Inc.",1.4125,USD,22.82608696,69502,8.73217494,6236727.93478261,USD,,-18.5712,USD,66.76342889,0,Health services,
ATLX,Atlas Lithium Corporation,5.47,USD,3.20754717,99695,0.63541079,84325650.04150943,USD,,-3.5715,USD,-13.95979579,0,Non-energy minerals,
ATMC,AlphaTime Acquisition Corp,11.61,USD,0.0862069,120,0.01596382,79800600.00000001,USD,50.54418807,0.2297,USD,-1.62740899,0,Finance,
ATMV,AlphaVest Acquisition Corp,11.5301,USD,-0.28883988,200,0.01102463,44446876.80135813,USD,39.74526026,0.2901,USD,28.87605509,0,Finance,
ATNF,180 Life Sciences Corp.,1.1454,USD,-2.1025641,21941,0.19481569,3638934.82102564,USD,,-4.8111,USD,98.21124361,0,Health technology,
ATNM,"Actinium Pharmaceuticals, Inc. (Delaware)",1.1508,USD,4.61818182,98063,0.63466638,35900231.25818182,USD,,-1.3978,USD,26.96588119,0,Health technology,Buy
ATPC,Agape ATP Corporation,1.025,USD,-5.09259259,261340,0.03300116,4089705.39351852,USD,,-0.6863,USD,-39.26542208,0,Health technology,
ATRA,"Atara Biotherapeutics, Inc.",7,USD,-1.82328191,10441,0.12387791,40318249.50911641,USD,,-25.6572,USD,-38.55275948,0,Health technology,Buy
AUID,authID Inc.,4.57,USD,0.66079295,39536,1.19830753,49908553.26431718,USD,,-1.3157,USD,93.80867454,0,Electronic technology,
AURX,"Nuo Therapeutics, Inc.",1.34,USD,9.83606557,474,0.23466508,62441867.99999999,USD,,-0.0561,USD,32.49097473,0,Health technology,
AUST,Austin Gold Corp.,1.4308,USD,8.97182026,148406,1.33479519,18989211.45468393,USD,,-0.232,USD,23.02587923,0,Non-energy minerals,
AVTE,"Aerovate Therapeutics, Inc.",2.425,USD,0.20661157,3807,0.04141266,70020697.57231404,USD,,-2.9953,USD,-9.28561004,0,Health technology,Neutral
AVTX,"Avalo Therapeutics, Inc.",7,USD,1.44927536,19726,0.42078453,73245429.27536231,USD,,-168.2296,USD,72.92464139,0,Health technology,Strong buy
AWRE,"Aware, Inc.",1.5401,USD,3.36241611,14008,0.41417809,32656158.432349,USD,,-0.3551,USD,-54.99781755,0,Technology services,
AWX,Avalon Holdings Corporation,3.24,USD,-1.2195122,625,0.05208594,12634156.75609757,USD,12.84185493,0.2523,USD,,0,Industrial services,
AXDX,"Accelerate Diagnostics, Inc.",1.07,USD,2.88461538,1121,0.04409462,26796887.60576923,USD,,-2.7228,USD,55.49671472,0,Health technology,Strong buy
AXIL,"AXIL Brands, Inc.",6.89,USD,-4.96551724,2135,0.14591606,44556611.23034483,USD,33.97435897,0.2028,USD,80.10657194,0,Consumer non-durables,
AXTI,AXT Inc,1.56,USD,0.64516129,92355,0.04236043,69810908.82580647,USD,,-0.272,USD,35.77331759,0,Electronic technology,Strong buy
AYTU,"Aytu BioPharma, Inc.",1.26,USD,0,3571,0.07265277,7774008,USD,,-1.4461,USD,64.25764354,0,Health technology,Strong buy
BAER,"Bridger Aerospace Group Holdings, Inc.",1.71,USD,-1.72413793,33649,0.14822623,92658336.15517242,USD,,-1.3799,USD,-1216.42394822,0,Transportation,Strong buy
BAFN,BayFirst Financial Corp.,18.6,USD,0.3236246,1023,0.13233639,76873544.17475729,USD,7.39768524,2.5143,USD,119.58951965,1.726,Finance,
BANL,CBL International Limited,1.11,USD,-2.46902733,44844,0.71067695,30525000.97530974,USD,,-0.0131,USD,-135.12064343,0,Transportation,
BAOB,"Baraboo Bancorporation, Inc. (THE)",3.93,USD,-0.75757576,200,0.00911914,35773457.86380833,USD,,,,,3.02648,Finance,
BAOS,Baosheng Media Group Holdings Limited,2.24,USD,1.35746606,7549,0.21203567,3437250.60633484,USD,,,,,0,Commercial services,
BATL,Battalion Oil Corporation,1.43,USD,-2.05479452,16697,0.51636107,23532884.13013699,USD,,-0.7947,USD,72.98317185,0,Energy minerals,
BAYA,Bayview Acquisition Corp,10.86,USD,0.0921659,2518,0.38377126,59094809,USD,45.13715711,0.2406,USD,,0,Finance,
BBGI,"Beasley Broadcast Group, Inc.",6.21,USD,-10.77458009,1172,0.32738345,11003046.79664938,USD,3.55364807,1.7475,USD,,0,Consumer services,
BBOE,Black Box Entertainment Ltd.,1.7,USD,13.33333333,869,0.90483132,619654.53333333,USD,,-0.0014,USD,99.86,0,Commercial services,
BBXIA,"BBX Capital, Inc.",6.71,USD,-1.32352941,345,0.12189521,98234145.41470589,USD,,-3.3402,USD,-745.94855927,0,Finance,
BCDA,"BioCardia, Inc.",2.555,USD,1.38888889,22583,0.35762529,11712848.98611111,USD,,-4.1575,USD,55.70955267,0,Health technology,Strong buy
BCG,"Binah Capital Group, Inc.",2.33,USD,1.30434783,37529,0.0052338,38683732.81304349,USD,,-0.1337,USD,85.64526519,0,Finance,
BCLI,Brainstorm Cell Therapeutics Inc.,1.5709,USD,4.4481383,1423,0.04249563,8959511.16808511,USD,,-3.4922,USD,46.67257124,0,Health technology,Strong buy
BCOW,"1895 Bancorp of Wisconsin, Inc.",10,USD,-1.36510692,1552,0.02993036,59582610.66835004,USD,,-0.5838,USD,27.97038865,0,Finance,
BCRD,BlueOne Card Inc.,6.25,USD,0.57933698,625,1.71185976,89203481.55737706,USD,,-0.0908,USD,36.98820264,0,Industrial services,
BCTF,"Bancorp 34, Inc.",13.16,USD,-4.08163265,1046,0.57277407,97775249.51594748,USD,,-0.3164,USD,82.0043226,0,Finance,
BDCC,Blackwell 3D Construction Corp.,1.245,USD,8.26086957,12198,0.11713551,718108.42173913,USD,,-0.2258,USD,97.46505754,0,Retail trade,
BDCO,Blue Dolphin Energy Co.,1.5,USD,0,2020,0.3592644,22382951,USD,5.55761393,0.2699,USD,-87.34052533,0,Energy minerals,
BDRX,Biodexa Pharmaceuticals plc,2.895,USD,3.39285714,15196,0.14610822,1872057,USD,,-49.7381,USD,99.5612494,0,Health technology,Strong buy
BEAT,"Heartbeam, Inc.",2.0497,USD,0.97044335,6529,0.0767871,68484275.50807881,USD,,-0.6937,USD,44.84814756,0,Health technology,Buy
BEDU,Bright Scholar Education Holdings Limited,1.368,USD,-5.09885536,387,0.16996047,42850322,USD,,-4.7412,USD,-164.69405985,0,Commercial services,
BEEM,Beam Global,2.2017,USD,-0.14965986,17578,0.12217924,32527697.1277551,USD,,-0.8128,USD,52.91118707,0,Producer manufacturing,Strong buy
BEST,BEST Inc.,2.78,USD,-0.35842294,595,0.01462527,52737556,USD,,,,,0,Transportation,
BFRG,"Bullfrog AI Holdings, Inc.",1.9199,USD,1.04736842,38476,0.05222371,16728379.71642105,USD,,-0.8859,USD,-5.69076593,0,Technology services,
BGFV,Big 5 Sporting Goods Corporation,1.08,USD,0.93457944,27165,0.13417492,24502593.86915888,USD,,-3.1434,USD,-864.82504604,44.3925,Retail trade,
BGSF,"BGSF, Inc.",4.58,USD,1.32743363,1708,0.26368605,50489977.75663716,USD,,-0.1249,USD,-120.5090312,6.63717,Commercial services,Strong buy
BHAC,Focus Impact BH3 Acquisition Company,13.69,USD,30.38095238,694,0.04191631,95173428,USD,,-0.8092,USD,-474.80314961,0,Finance,
BHM,"Bluerock Homes Trust, Inc.",11.18,USD,-2.44328098,4453,1.62518248,44299722.00000001,USD,,-0.9812,USD,5.08802476,0,Finance,
BHV,BlackRock Virginia Municipal Bond Trust,11.03,USD,0.17710367,1812,0.44378046,17487300,USD,25.37382103,0.4347,USD,,3.95077,Miscellaneous,
BIRD,"Allbirds, Inc.",6.4659,USD,1.82519685,12428,0.22371147,51289977.87850395,USD,,-16.0335,USD,-29.77547188,0,Consumer non-durables,Neutral
BIVI,BioVie Inc.,1.1677,USD,-1.87394958,83374,0.23219208,21546378.81226891,USD,,-3.952,USD,66.7205605,0,Health technology,
BJDX,"Bluejay Diagnostics, Inc.",3.859,USD,-0.54123711,19609,0.22767726,2133464.06340206,USD,,-1402.0135,USD,63.82188203,0,Health technology,
BKHA,Black Hawk Acquisition Corporation,10.48,USD,0.19120459,312,0.05550416,93581200,USD,48.85780886,0.2145,USD,,0,Finance,
BKSC,Bank of South Carolina Corp.,13.4,USD,0.0746826,500,0.27501238,74335685.39208363,USD,10.9209454,1.227,USD,25.69145667,5.37715,Finance,
BKYI,"BIO-key International, Inc.",1.07,USD,4.90196078,86723,0.63050775,3345942.45098039,USD,,-7.6862,USD,51.5405615,0,Technology services,Strong buy
BLBX,Blackboxstocks Inc.,3.2798,USD,5.12179487,29757,0.5137098,11614056.6800641,USD,,-0.9707,USD,26.66213358,0,Technology services,
BLIN,"Bridgeline Digital, Inc.",1.3663,USD,5.1,58326,0.58060489,14267736.992,USD,,-0.1894,USD,80.23789649,0,Technology services,Strong buy
BLTH,American Battery Materials Inc.,6.5,USD,23.57414449,266,0.3111839,15511430.70342205,USD,,-0.8492,USD,32.6031746,0,Process industries,
BLUE,"bluebird bio, Inc.",3.98,USD,4.18848168,63568,0.06917747,38768754.91099476,USD,,-35.9744,USD,-141.66274805,0,Health technology,Neutral
BMGL,Basel Medical Group Ltd,4.13,USD,-1.66666667,28710,,76219150,USD,43.65750529,0.0946,USD,16.79012346,0,Health services,
BMNM,"Bimini Capital Management, Inc.",1,USD,17.64705882,4840,2.74034651,10069332.63157895,USD,,-0.4642,USD,57.14549483,0,Finance,
BMR,Beamr Imaging Ltd.,2.48,USD,-0.40160643,33820,0.16624328,38468285.9437751,USD,,-0.1151,USD,42.24786754,0,Technology services,
BNGO,"Bionano Genomics, Inc.",3.895,USD,-1.39240506,18812,0.14876415,10644411.8,USD,,-138.627,USD,66.90885811,0,Health technology,Neutral
BNIX,Bannix Acquisition Corp.,11.75,USD,-0.16992353,5002,1.66179402,33472789,USD,,-0.2707,USD,-1103.11111111,0,Finance,
BNR,Burning Rock Biotech Limited,5.2238,USD,-13.08153078,13460,3.40552576,52056348,USD,,-5.7778,USD,41.02058941,0,Health services,
BNRG,Brenmiller Energy Ltd,1.19,USD,-11.85185185,1272223,3.2975009,9632802.3037037,USD,,,,,0,Industrial services,
BNSOF,"Bonso Electronics International, Inc.",2.19,USD,0,700,0.80598733,10637239,USD,,,,,0,Consumer durables,
BNZI,"Banzai International, Inc.",1.275,USD,-2.67175573,270475,0.31025485,11849131.71755725,USD,,-45.4163,USD,-816.13143987,0,Technology services,Strong buy
BODI,"The Beachbody Company, Inc.",7.47,USD,-3.02731332,151,0.00850211,51719301.1930107,USD,,-15.7643,USD,26.29543914,0,Consumer services,Strong buy
BOF,BranchOut Food Inc.,1.8999,USD,3.81967213,61145,0.39023634,16253177.31147541,USD,,-1.0309,USD,27.74740678,0,Consumer non-durables,
BOLD,"Boundless Bio, Inc.",1.73,USD,0,26217,0.24830467,38579075.00000001,USD,,-2.7521,USD,,0,Health technology,Buy
BOREF,Borealis Exploration Limited,3.1,USD,0,1450,0.98125465,15500000,USD,,,,,0,Finance,
BOSC,B.O.S. Better Online Solutions,3.87,USD,4.87804878,4477,0.13362823,22295071.04878049,USD,10.09389671,0.3834,USD,5.47455296,0,Electronic technology,
BOTH,"Bioethics, Ltd.",1.25,USD,127.27272727,247,0.29527794,1418992,USD,,-0.1348,USD,-63.79100851,0,Finance,
BOTJ,"Bank of the James Financial Group, Inc.",13.12,USD,2.26032736,720,0.11790522,59608591.96258769,USD,7.50443288,1.7483,USD,-8.38922658,3.11769,Finance,
BOWN,Bowen Acquisition Corp,4.38,USD,19.67213115,1833,0.10952831,40149300,USD,12.00987113,0.3647,USD,,0,Finance,
BOXL,Boxlight Corporation,1.68,USD,1.81818182,11026,0.03515707,3310632.43636364,USD,,-15.7163,USD,-19.91683199,0,Electronic technology,Buy
BQ,Boqii Holding Limited,2.9,USD,2.83687943,4658,0.34861355,30217142,USD,,-0.9235,USD,65.56288921,0,Retail trade,
BQST,BioQuest Corp.,1.01,USD,0,300,0.35161744,11600083,USD,,-0.0129,USD,-303.125,0,Consumer services,
BRFH,Barfresh Food Group Inc.,3.6,USD,2.19143863,281,0.01397551,56915718.97354377,USD,,-0.183,USD,40.77669903,0,Consumer non-durables,Strong buy
BRID,Bridgford Foods Corporation,10.51,USD,1.66278136,354,0.21234479,95397506.45573168,USD,,-0.3725,USD,-197.33472694,0,Consumer non-durables,
BRLT,"Brilliant Earth Group, Inc.",1.3,USD,-0.76335878,20430,0.27777173,81568217.17557253,USD,,-0.0469,USD,-789.70588235,0,Retail trade,Neutral
BRN,"Barnwell Industries, Inc.",1.31,USD,-4.37956204,13924,0.77414907,13170129.94160584,USD,,-0.6797,USD,-149.70609846,0,Energy minerals,
BRNS,Barinthus Biotherapeutics plc,1.03,USD,10.75268817,2113,0.08615769,36774542,USD,,-1.4932,USD,26.58439451,0,Health technology,Strong buy
BRRE,Blue Ridge Real Estate Co.,9.4,USD,-0.31813362,250,0.15402625,23030000,USD,,-0.2585,USD,-125.90699539,0,Finance,
BRTX,"BioRestorative Therapies, Inc.",1.42,USD,-0.6993007,43248,0.02101754,9826284.81118881,USD,,-0.7146,USD,82.66207298,0,Health technology,Strong buy
BRZH,Breeze Holdings Acquisition Corp.,10.82,USD,-0.84765178,101,0.09697552,43644763.28941389,USD,,-0.3649,USD,61.71038825,0,Finance,
BTAI,"BioXcel Therapeutics, Inc.",2.9302,USD,8.52592593,8503111,0.33662233,9088921.49148148,USD,,-34.4296,USD,70.74760574,0,Health technology,Buy
BTBD,"BT Brands, Inc.",1.63,USD,6.41770582,23739,1.50008531,9681749.85310439,USD,,-0.2158,USD,-91.31205674,0,Consumer services,
BTCM,BIT Mining Limited,2.075,USD,5.32994924,13405,0.22054227,31429380,USD,,,,,0,Technology services,Neutral
BTCS,BTCS Inc.,1.98,USD,-0.50251256,48189,0.1254933,37621212.87437186,USD,5.56336049,0.3559,USD,,0,Finance,Strong buy
BTCT,BTC Digital Ltd.,4.26,USD,0.9478673,221721,0.15434593,21407559.95260664,USD,,,,,0,Technology services,
BTM,Bitcoin Depot Inc.,1.23,USD,0.81967213,81090,0.24572712,74280728.36065575,USD,,-0.77,USD,-186.24535316,0,Finance,Buy
